Contenido,Título del vídeo,Hora de publicación del vídeo,Duración,Visualizaciones,Tiempo de visualización (horas),Suscriptores,Ingresos estimados (USD),Impresiones,Porcentaje de clics de las impresiones (%)
Total,,,,441801,23105.5377,2588,231.566,4547523,5.33
1uSbIuTvd38,Continuidad de una función de dos variables,"Nov 3, 2021",1505,95310,6788.5988,283,72.959,648396,9.31
O6lOyfOp9tk,Diferenciabilidad de una función de dos variables,"Nov 5, 2021",1218,41491,2239.41,113,28.228,274722,9.36
PmO9zjvp4s8,Regla de la cadena y derivadas de segundo orden,"Nov 14, 2021",1626,20096,1398.9229,80,12.404,269195,5.08
0k0X0DQX3So,Existencia del límite de una función de dos variables usando el Teorema del Sandwich,"Sep 2, 2022",2188,17955,1349.7919,73,14.944,147312,8.22
sIILUszaKGg,Determinante de una matriz 3x3: Método de cofactores - expansión por la fila 1,"Mar 28, 2024",49,16883,101.5971,45,0.338,223623,3.11
CLSy4uUL4-Y,Integral por método de sustitución en un minuto.,"Oct 6, 2021",50,14850,157.4621,21,0.206,515828,1.48
PZDXJ24h-9w,Integrales impropias y Teorema de comparación para integrales,"Dec 14, 2021",765,12697,652.4876,33,7.76,110651,7.03
UVVNc58U-9Q,Continuidad de una función de dos variables verificando las tres condiciones  de la definición,"Sep 7, 2022",1454,10571,646.3876,55,6.28,104893,5.87
1GChfr7OaYs,Análisis de la continuidad de una función de dos variables,"Sep 14, 2023",417,10389,401.5888,37,4.26,83831,8.32
86Mp1IWX1gM,Derivadas parciales en un punto por definición de límite,"Nov 4, 2021",587,10200,378.044,29,4.95,91066,7.61
upZPIwAfRHk,Existencia del límite de una función de dos variables usando Teorema de estricción (o sandwich),"Mar 22, 2023",1577,10160,675.5577,36,6.979,146779,4.79
XMB3Aa6SscQ,Si n es impar entonces n^2 es impar,"Oct 18, 2021",193,6609,143.387,16,2.049,30887,5.86
IzR7FwNzS-8,Límite de una función de tres variables: Stewart varias variables 7ma ed ejercicio 20 taller 14.2:,"Nov 2, 2021",471,6046,195.2084,18,2.202,43281,9.62
jiplRpqP9RQ,Si n es par entonces n^2 es par.,"Apr 23, 2021",166,5480,101.6022,11,1.624,37121,5.1
FgvkntT3wpc,Aplicaciones de sistemas de ecuaciones lineales : Balanceo de una ecuación química.,"Oct 28, 2021",2096,5252,347.546,16,3.434,26775,8.29
lQe2c3sdF88,Dominio de una función de dos variables con logaritmo natural,"Oct 18, 2021",535,4903,168.8803,12,1.596,65898,4.21
qfweIdAPdls,Sólidos de revolución respecto a la recta x= -1,"Dec 14, 2021",1079,4851,194.6175,8,2.387,33740,8.08
_X50BWlbiOc,Particiones de un conjunto,"Dec 7, 2021",399,4605,116.8065,8,1.709,16378,16.11
Hm9kyx5MM2c,¿Existe o no el Límite?,"Sep 11, 2022",1248,4502,206.2675,19,1.795,76533,3.42
DidCKu8kw78,APLICACIÓN DE MÁXIMOS Y MÍNIMOS LOCALES: CANTIDAD MÍNIMA DE CARTON PARA CONSTRUIR UNA CAJA.,"Mar 29, 2020",643,4490,56.2287,29,1.476,11962,1.86
EwQaG4lH7Ok,Máximos y mínimos absolutos para funciones de dos variables,"Nov 28, 2021",2225,4380,285.0873,11,3.535,39988,6.78
