"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total de Víctimas del Caso","Tipo de Armas","latitud-longitud"
"100,649","CR030032","1,998","1","25","25530","PARATEBUENO","CUNDINAMARCA","PIEDEMONTE LLANERO","RUTA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","1","1","0","0","1","1","0","0","2",,"VENTA A BAJO PRECIO.","5","ARMA DE FUEGO","POINT (-73.241661397 4.368158959)"
"102,446",,"2,007","10","17","27361","ISTMINA","CHOCO","VALLE DE SAN JUAN","ENGAÑO","GRUPO POSDESMOVILIZACIÓN","LOS RASTROJOS","0","0","0","0","0","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-77.00090737 4.586818665)"
"105,517",,"2,005","12","7","44430","MAICAO","LA GUAJIRA","ALTA GUAJIRA","ASALTO","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-72.241861 11.378319)"
"105,564",,"2,000","6","18","44430","MAICAO","LA GUAJIRA","ALTA GUAJIRA","SICARIATO","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","3","0","0",,,"4","ARMA DE FUEGO","POINT (-72.241861 11.378319)"
"105,630",,"2,002","6","2","44430","MAICAO","LA GUAJIRA","ALTA GUAJIRA","SICARIATO","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-72.29500818 11.38157764)"
"105,646",,"2,002","8","6","44430","MAICAO","LA GUAJIRA","ALTA GUAJIRA","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","1",,,"4","ARMA DE FUEGO","POINT (-72.241861 11.378319)"
"106,422",,"1,988","7","12","47001","SANTA MARTA","MAGDALENA","SIERRA NEVADA DE SANTA MARTA","RUTA","GRUPO PARAMILITAR","OTRO","0","0","0","0","0","0","0","0","1",,,"5","ND","POINT (-73.88527855 11.12189436)"
"107,728","CR036098","2,002","3","7","47001","SANTA MARTA","MAGDALENA","SIERRA NEVADA DE SANTA MARTA","ASALTO","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-73.88527855 11.12189436)"
"108,305",,"1,988","7","12","47189","CIENAGA","MAGDALENA","SIERRA NEVADA DE SANTA MARTA","RUTA","GRUPO PARAMILITAR","OTRO","1","1","0","0","1","0","0","0","2",,,"5","ARMA DE FUEGO - OBJETO CONTUNDENTE","POINT (-74.02404322 10.76964718)"
"109,656",,"1,995","5","21","47268","EL RETEN","MAGDALENA","CIENAGA GRANDE DE SANTA MARTA","ASALTO","GRUPO PARAMILITAR","NO IDENTIFICADO","0","0","0","0","0","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-74.268412 10.610445)"
"110,073",,"1,993","2","5","47053","ARACATACA","MAGDALENA","SIERRA NEVADA DE SANTA MARTA","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","OTRO","0","0","0","0","0","0","0","0","1",,,"5","ND","POINT (-73.87972257 10.64490877)"
